batter_position,start_state,end_state,count
1,22,18,4
10,11,24,2
5,5,1,9
1,19,20,5
9,5,2,129
5,5,16,1
10,21,18,125
9,13,13,13081
3,12,12,13819
9,11,20,26
6,4,8,9
6,7,3,3
9,2,2,19239
1,3,6,136
9,13,14,599
1,3,3,6372
6,21,18,311
3,10,8,55
9,3,10,55
1,3,9,110
8,11,17,86
9,15,10,4
2,3,12,7
3,15,12,3
7,23,19,8
6,11,12,11
4,1,8,3258
3,5,2,132
1,21,17,16
5,9,12,542
3,17,17,82463
8,5,0,2
8,21,17,18
11,10,10,11054
4,10,10,32105
6,14,16,3
2,11,13,177
11,13,12,7
0,16,16,56
7,6,2,3
10,6,10,1
6,3,12,10
9,17,20,489
2,14,16,2
2,23,22,180
4,10,12,1446
3,7,5,1
9,19,21,203
2,0,0,243775
1,15,19,57
4,21,16,4
10,9,12,171
8,22,25,5
6,21,24,298
1,19,21,70
4,13,13,10494
3,15,10,1
6,7,7,3108
10,6,12,3
7,11,24,2
11,15,8,1
3,20,24,56
8,21,22,907
3,19,20,18
10,3,12,8
1,16,16,70850
2,5,10,10
6,3,6,382
2,9,10,5203
8,19,21,135
0,21,21,64
9,22,25,1
1,11,16,1
3,11,12,24
2,9,8,9
0,21,18,3
3,7,13,1
4,23,22,159
10,19,18,6
6,21,17,23
2,2,8,103
10,23,24,6
10,10,16,142
3,3,10,78
8,17,18,6506
2,3,6,422
10,18,24,40
6,16,16,146610
9,5,12,67
1,15,14,71
6,5,10,7
1,18,24,35
8,22,22,11334
10,21,25,10
7,2,0,14
6,19,16,1
1,3,12,2
11,13,16,2
11,10,12,391
4,18,24,106
7,17,18,7255
1,23,26,1
11,15,11,8
5,3,2,7
5,17,20,567
10,19,21,82
9,3,6,524
4,6,10,4
11,5,12,8
10,2,4,202
6,5,8,3
10,22,22,3831
4,6,2,1
1,11,9,1
4,19,22,741
6,17,17,67773
2,18,24,96
2,10,8,28
9,2,4,658
4,13,12,52
9,23,25,1
11,5,5,1989
2,2,0,14
10,5,5,2383
5,9,16,2955
4,3,12,6
11,10,16,53
5,13,17,32
2,7,4,2
4,9,10,5726
5,19,19,35081
6,2,4,598
5,3,9,120
5,20,24,51
3,11,20,32
4,21,18,287
3,23,24,34
1,22,24,27
10,21,22,422
10,18,16,15
5,6,0,1
6,6,4,43
3,9,8,10
6,13,16,5
1,22,25,1
7,3,16,2
7,13,16,9
10,22,16,3
5,13,24,7
1,15,18,1
10,11,14,429
4,15,19,8
6,11,10,13
9,3,9,97
1,17,18,952
1,7,6,26
8,13,16,6
3,4,8,7
11,16,16,33192
9,14,20,13
2,6,2,3
9,15,20,1
1,14,24,1
1,14,20,39
8,7,13,2
9,9,16,2577
5,6,10,1
3,15,20,3
5,5,8,2
1,9,9,32507
1,3,5,50
5,18,16,26
11,5,8,1
7,10,8,54
6,15,22,11
3,1,8,1839
0,20,20,30
6,13,10,185
5,11,24,2
2,20,16,311
10,2,2,6527
9,5,6,328
7,7,3,2
9,13,9,15
8,12,16,64
11,11,17,38
1,13,18,116
9,22,20,141
3,22,18,9
4,18,16,33
11,5,6,67
10,21,16,1
4,14,18,21
9,21,25,13
4,21,24,264
1,7,11,4
2,11,10,19
5,11,13,204
1,1,1,28514
10,21,17,7
5,10,12,1539
2,19,20,17
7,1,8,1787
11,21,20,10
4,5,5,4802
8,10,8,40
7,2,8,101
1,15,10,2
4,3,5,74
4,14,20,17
7,9,8,11
1,5,2,38
10,18,20,577
2,11,18,170
0,21,24,1
8,15,18,1
5,13,20,144
7,5,10,7
