batter_position,start_state,end_state,count
1,7,9,4
2,3,2,202
4,14,17,57
4,6,8,12
2,8,9,44896
11,12,9,577
6,5,17,37
6,6,14,1181
11,17,16,405
4,14,22,2503
2,4,8,674
6,3,6,488
11,1,1,6
8,13,12,101
11,18,17,1096
6,11,20,49
11,6,2,56
9,13,13,675
7,13,22,238
2,10,11,4718
1,3,24,8
5,17,20,620
5,5,3,938
10,17,18,667
9,10,9,2738
1,11,14,161
9,15,20,25
8,3,0,322
7,10,18,16183
7,2,12,4622
9,21,20,186
1,5,18,6
8,7,7,587
10,2,1,426
4,16,20,1012
7,11,9,9
9,14,8,187
9,6,17,1
11,3,12,5
1,21,22,53
9,5,14,212
7,16,17,43636
3,20,21,3779
5,12,14,4
7,14,15,3132
4,23,18,242
4,4,12,1774
9,13,16,12
10,0,4,329
7,14,21,212
9,11,18,144
2,2,16,145
1,15,22,298
4,7,18,9
11,15,10,86
3,10,24,385
6,15,18,62
1,11,19,4599
1,19,16,97
10,7,10,4
6,21,18,239
8,11,11,1601
8,0,2,15383
4,13,15,837
7,19,20,386
10,14,25,7
4,13,21,2106
4,19,17,29
6,20,24,10245
1,13,21,1479
1,19,17,29
5,7,3,238
4,19,16,470
3,6,6,29
1,13,15,229
9,14,20,1171
4,11,19,8988
6,23,22,397
5,18,21,1348
6,17,25,57
10,3,4,28
9,23,19,647
6,4,4,50
1,7,18,1
11,6,0,13
11,12,18,20
6,12,10,471
5,11,25,5
8,22,19,7
6,7,22,99
9,19,21,1679
9,13,17,2622
4,15,22,462
3,1,10,6416
7,1,4,560
9,7,19,29
2,1,9,24011
1,23,18,116
1,4,12,976
4,21,22,361
1,16,20,161
8,8,9,52961
8,3,2,157
9,6,16,10
7,16,16,4620
4,5,18,12
11,7,25,2
10,21,25,29
0,17,18,2
6,14,18,903
11,14,10,160
2,3,5,475
4,11,14,938
10,5,10,151
6,11,8,342
10,15,25,13
4,3,24,21
8,5,7,462
11,18,16,191
8,6,12,487
9,15,8,275
9,7,14,180
5,9,11,15911
5,19,26,38
7,21,21,778
11,23,25,36
7,15,15,1564
11,17,22,365
9,6,13,40
7,15,21,999
8,0,0,7387
1,14,22,2012
1,14,17,25
1,6,8,3
6,10,20,5333
2,7,7,660
4,7,9,6
6,15,9,1
5,1,6,2183
6,5,16,483
9,19,20,400
11,17,17,23
10,12,13,727
4,14,16,49
4,13,8,148
0,19,25,2
6,13,14,401
8,2,16,150
1,15,13,148
5,23,23,1527
11,6,5,103
9,14,21,207
7,11,18,144
7,13,16,13
1,13,20,16
9,14,15,3156
5,6,10,405
3,9,13,5398
2,11,11,1799
7,14,8,155
2,0,2,11335
9,16,17,43345
7,5,14,229
1,10,14,19
9,11,9,11
10,18,18,811
4,6,20,11
5,18,20,273
1,21,16,35
6,19,18,647
6,5,13,1182
9,2,12,4828
4,14,13,710
7,21,20,187
10,12,16,1018
9,10,18,16515
8,4,8,786
2,13,12,79
4,21,17,8
7,15,20,26
1,15,16,2
7,10,9,2650
6,13,19,382
1,5,9,149
4,15,17,50
9,13,22,248
6,7,17,8
7,13,13,709
8,10,11,5369
6,23,17,4
2,3,0,319
3,11,24,4218
3,9,16,62
1,19,22,242
10,22,24,2166
3,3,14,1927
1,3,18,142
10,17,24,18507
3,19,20,323
8,5,0,120
2,19,23,4292
10,7,4,6
10,20,25,16
7,10,24,376
5,3,3,817
6,2,0,133
8,13,25,58
3,14,15,3765
8,7,2,39
8,2,6,111
5,6,11,37
1,6,1,62
3,14,21,156
8,9,12,754
4,12,12,116
1,1,2,82
3,11,9,14
6,5,6,185
3,16,17,43640
5,1,16,8301
2,11,10,523
9,9,13,4462
7,20,21,2934
4,1,0,917
6,15,24,1396
3,10,18,15755
3,2,12,4912
6,21,24,9988
3,13,22,241
2,7,5,156
8,4,1,621
10,14,12,16
8,10,10,1961
8,15,23,2737
11,5,12,5
2,12,8,199
9,3,14,2012
4,23,24,8182
11,6,7,257
11,22,17,323
9,9,16,77
11,8,8,797
9,11,24,3773
8,21,23,1373
9,6,6,36
3,14,20,1336
7,8,10,9023
2,18,19,8718
11,4,9,4
11,22,22,1
1,20,16,20
3,23,19,598
7,20,20,135
4,3,9,28
2,3,7,2128
4,20,17,2673
5,10,12,268
6,2,5,2301
3,7,19,29
9,1,10,7122
3,19,21,1921
3,13,17,2818
8,5,5,282
3,6,16,12
1,2,3,240
2,5,2,98
7,22,26,60
2,23,26,99
6,3,17,167
1,9,8,80
11,14,11,27
10,5,11,44
8,17,19,13902
5,9,10,1228
3,15,8,337
3,7,14,241
6,22,25,74
2,7,0,106
8,12,20,4438
4,9,20,177
4,1,5,3720
3,6,13,31
0,18,24,43
7,9,17,34438
2,11,15,3881
6,0,0,4202
2,11,21,2409
5,20,17,2613
2,14,9,560
6,6,12,417
5,3,9,50
7,12,24,154
6,5,7,332
9,14,11,58
1,8,16,69365
3,14,10,439
2,7,16,4
8,11,8,607
1,6,4,4
3,23,25,36
7,22,16,221
1,22,20,22
2,23,16,296
3,17,22,1649
4,10,12,305
8,14,18,846
10,2,10,2798
2,18,25,211
3,18,16,1305
10,4,2,50
3,12,18,77
3,6,0,110
2,6,14,1394
2,5,17,36
6,8,9,54023
6,3,2,133
9,4,9,26
8,7,22,72
2,7,13,370
11,6,6,6
6,22,19,8
9,22,22,4
8,17,25,64
8,23,22,382
4,9,10,938
8,12,10,534
8,4,4,58
2,10,8,562
5,1,5,3245
8,20,24,10545
10,9,18,1839
10,13,24,811
7,7,12,16
5,9,20,205
11,1,10,2234
1,22,21,127
7,1,8,48
4,3,3,573
6,10,11,3849
8,23,17,15
0,0,8,1
11,9,16,4
8,13,19,315
9,8,8,5677
5,12,12,100
9,6,7,720
9,22,17,917
2,11,20,60
11,3,14,707
10,22,23,958
9,5,12,22
8,7,17,10
4,6,11,22
11,11,24,1534
10,3,8,3
8,19,18,667
8,5,13,1360
4,1,16,8367
2,3,6,446
1,2,9,460
1,13,11,561
6,4,8,836
7,15,11,566
2,21,18,383
1,11,12,32
5,7,24,4
5,1,0,1553
2,15,18,56
3,17,17,102
8,13,14,418
6,2,16,158
11,9,13,983
10,16,24,36174
8,15,9,4
8,10,20,6463
5,23,24,8681
8,5,16,431
3,6,5,334
5,14,16,46
2,9,14,2103
2,3,16,3
4,1,6,2279
11,13,22,102
6,21,23,1251
5,7,9,10
11,2,12,909
6,4,1,693
0,23,21,2
6,15,23,2730
5,13,8,310
6,10,10,1607
11,10,18,5498
10,11,17,35
2,1,3,11266
4,6,10,360
7,1,1,16
8,21,24,9994
1,21,26,4
3,5,12,20
3,8,8,5963
0,19,19,11
4,23,23,1508
3,22,17,832
3,6,7,865
5,6,20,11
8,15,24,1091
10,6,18,4
1,13,10,40
4,18,20,368
0,13,18,2
7,18,17,4262
7,6,2,198
1,23,27,1
8,5,6,250
5,21,17,14
5,14,13,687
7,15,10,121
2,3,13,1217
6,2,6,107
5,15,17,62
6,7,2,44
2,19,24,25950
6,9,12,603
11,19,20,95
9,17,17,66
10,1,12,49
11,16,17,8335
7,3,12,20
8,2,0,332
6,13,25,67
11,11,9,5
11,14,21,88
9,6,5,320
1,17,21,1018
11,14,15,1417
6,5,0,67
0,11,13,1
6,12,20,3781
5,19,16,870
4,7,3,206
10,10,13,686
9,14,10,438
3,14,11,40
2,20,18,713
4,18,21,1565
8,22,25,59
5,11,19,10445
2,7,6,154
11,6,13,10
2,2,2,830
9,17,22,1805
9,23,25,57
10,7,8,3
5,15,22,484
6,17,19,13625
10,15,14,145
4,11,25,7
0,16,18,3
8,3,17,137
9,18,16,1126
1,12,14,1
10,13,9,5
11,7,14,106
5,21,22,425
11,15,8,127
0,23,20,4
7,18,22,22
6,5,5,208
10,10,16,53
9,12,18,84
9,6,0,99
5,5,18,29
10,5,20,20
11,23,19,341
3,22,22,5
1,5,3,206
8,2,5,1966
1,17,20,128
2,14,24,122
2,4,10,4
7,17,16,2284
5,3,24,40
7,12,9,2269
11,14,20,437
5,11,14,1097
3,4,9,24
10,11,22,678
4,9,11,14791
4,19,26,30
10,15,19,320
11,6,16,1
11,19,21,709
11,13,17,903
10,21,19,645
11,7,19,12
2,5,6,209
11,13,16,2
5,14,22,2528
0,15,19,2
10,14,14,15
11,11,18,62
6,11,10,276
8,3,13,1683
10,8,12,222
7,6,5,317
8,19,24,23584
1,19,26,9
1,9,11,3186
11,5,14,74
9,3,12,32
0,21,19,5
11,14,8,61
7,17,17,78
4,17,20,605
2,2,0,302
4,5,3,753
9,15,10,115
10,10,17,124
3,15,11,624
6,19,23,4004
0,11,22,1
9,6,2,226
4,12,14,2
8,9,14,2739
8,3,16,9
9,18,17,4127
6,12,8,113
10,14,19,29
0,15,14,2
11,13,13,246
10,16,18,2403
5,16,20,850
10,6,9,4
1,11,25,5
9,1,1,14
5,4,12,1605
5,23,18,302
10,23,20,27
1,18,21,441
8,1,3,13702
6,7,5,91
2,21,24,11180
11,21,20,28
5,7,18,10
10,7,20,138
1,7,3,55
5,19,17,35
5,13,21,2852
2,15,24,1773
5,13,15,1158
11,15,20,20
11,10,9,649
3,1,8,42
4,17,21,3274
11,1,4,65
3,7,12,15
5,19,22,991
8,4,10,7
2,2,5,1602
8,14,24,160
11,16,16,558
10,11,13,503
5,15,16,7
9,17,16,2375
9,12,9,2395
6,3,7,2345
5,5,9,1219
6,18,19,6564
7,12,18,79
7,6,0,95
5,21,16,379
9,18,22,18
4,23,27,18
11,21,21,298
10,7,21,2
1,18,20,56
4,13,10,140
10,19,19,746
10,7,15,493
5,10,14,130
10,2,4,39
7,18,16,1014
